W_net,Q_net,Total_power,W_net_avg,Q_net_avg,Total_power_avg,SpCC_W_Br,SpCC_Q_Br,SpCC_dH_Br,SpCC_W_Gr,SpCC_Q_Gr,SpCC_dH_Gr,depth,res_length,n_streams,S_ratio,m_dot,max_speed,C_Br,C_Gr,con satisfied
1504.38427082238,0,1504.38427082238,1559471.05123402,0,1559471.05123402,198.434806273485,Inf,198.434806273485,207.33445672327,Inf,207.33445672327,6000,9000,5,1,66.1104833585764,0.803426991526768,309453335.94073,323332083.183271,1
1759.37470891789,0,1759.37470891789,1830981.92309579,0,1830981.92309579,195.021016109091,Inf,195.021016109091,202.600963823198,Inf,202.600963823198,6000,9000,6,1,80.2207651461818,0.97811133520954,357079955.119518,370958702.36206,1
1984.92200014165,0,1984.92200014165,2072481.18297204,0,2072481.18297204,195.230186981495,Inf,195.230186981495,201.926868889428,Inf,201.926868889428,6000,9000,7,1,94.050414037425,1.1509946674681,404610888.867261,418489636.109802,1
2181.46786621016,0,2181.46786621016,2283002.98778551,0,2283002.98778551,198.01071449592,Inf,198.01071449592,204.089877474153,Inf,204.089877474153,6000,9000,8,1,106.982069608692,1.3145398878818,452059052.807729,465937800.050271,1
2351.54948993764,0,2351.54948993764,2464322.41738703,0,2464322.41738703,202.674558927029,Inf,202.674558927029,208.306430448637,Inf,208.306430448637,6000,9000,9,1,118.248790076204,1.46197417790372,499455458.997905,513334206.240447,1
2499.03047020852,0,2499.03047020852,2618629.39756763,0,2618629.39756763,208.732959165485,Inf,208.732959165485,214.032963532439,Inf,214.032963532439,6000,9000,10,1,125.526906289855,1.55655448661808,546594263.112022,560473010.354563,1
