W_net,Q_net,Total_power,W_net_avg,Q_net_avg,Total_power_avg,SpCC_W_Br,SpCC_Q_Br,SpCC_dH_Br,SpCC_W_Gr,SpCC_Q_Gr,SpCC_dH_Gr,depth,res_length,n_streams,S_ratio,m_dot,max_speed,C_Br,C_Gr,con satisfied
0,18287.9141491183,18287.9141491183,0,19031643.3821071,19031643.3821071,Inf,16.8616566812875,16.8616566812875,Inf,17.5909025463918,17.5909025463918,6000,9000,5,0,155.01279193867,1.44999938623824,320905036.789787,334783784.032329,1
0,21106.5770404718,21106.5770404718,0,21954846.3336391,21954846.3336391,Inf,16.8428736979223,16.8428736979223,Inf,17.4750232940357,17.4750232940357,6000,9000,6,0,173.985919763056,1.65367202738649,369782703.854776,383661451.097317,1
0,23773.1273677861,23773.1273677861,0,24715025.7541727,24715025.7541727,Inf,16.9344951436104,16.9344951436104,Inf,17.4960461361356,17.4960461361356,6000,9000,7,0,190.767099748735,1.84304070642052,418536483.608243,432415230.850784,1
0,26290.3058165155,26290.3058165155,0,27315313.9903703,27315313.9903703,Inf,17.1030201547051,17.1030201547051,Inf,17.6111141582166,17.6111141582166,6000,9000,8,0,205.589817074154,2.01900351059149,467174365.709401,481053112.951943,1
0,28662.0225931198,28662.0225931198,0,29760119.9728755,29760119.9728755,Inf,17.3289880465111,17.3289880465111,Inf,17.7953419205946,17.7953419205946,6000,9000,9,0,218.681652264843,2.18244511327559,515712763.272696,529591510.515238,1
0,30892.6932650882,30892.6932650882,0,32054379.8343695,32054379.8343695,Inf,17.6003335111762,17.6003335111762,Inf,18.0333085777429,18.0333085777429,6000,9000,10,0,230.246596723359,2.33412569839134,564167775.578823,578046522.821365,1
