W_net,Q_net,Total_power,W_net_avg,Q_net_avg,Total_power_avg,SpCC_W_Br,SpCC_Q_Br,SpCC_dH_Br,SpCC_W_Gr,SpCC_Q_Gr,SpCC_dH_Gr,depth,res_length,n_streams,S_ratio,m_dot,max_speed,C_Br,C_Gr,con satisfied
0,14745.0037670658,14745.0037670658,0,15346589.4575404,15346589.4575404,Inf,16.4058809299185,16.4058809299185,Inf,17.3102347787616,17.3102347787616,6000,7000,5,0,128.984226585837,1.18134062942623,251774319.32075,265653066.563292,1
0,16989.2381946608,16989.2381946608,0,17677460.7190258,17677460.7190258,Inf,16.2329369314983,16.2329369314983,Inf,17.0180467084701,17.0180467084701,6000,7000,6,0,145.187827135005,1.3450860623091,286957104.960985,300835852.203527,1
0,19125.9988443377,19125.9988443377,0,19893333.082958,19893333.082958,Inf,16.1891960350328,16.1891960350328,Inf,16.8868542497053,16.8868542497053,6000,7000,7,0,159.798294865488,1.49808191696164,322057069.070211,335935816.312752,1
0,21157.3323908974,21157.3323908974,0,21996544.3925429,21996544.3925429,Inf,16.2342489880355,16.2342489880355,Inf,16.8652002408716,16.8652002408716,6000,7000,8,0,172.972435671691,1.64109461120918,357097378.544916,370976125.787458,1
0,23083.5603142793,23083.5603142793,0,23987506.2898679,23987506.2898679,Inf,16.3445501340163,16.3445501340163,Inf,16.9231324624513,16.9231324624513,6000,7000,9,0,184.802150382552,1.77433819021947,392064999.144776,405943746.387318,1
0,24906.2813383462,24906.2813383462,0,25868038.9734742,25868038.9734742,Inf,16.5054594553321,16.5054594553321,Inf,17.0419804980278,17.0419804980278,6000,7000,10,0,195.400914256072,1.89820557354996,426963868.46563,440842615.708172,1
