W_net,Q_net,Total_power,W_net_avg,Q_net_avg,Total_power_avg,SpCC_W_Br,SpCC_Q_Br,SpCC_dH_Br,SpCC_W_Gr,SpCC_Q_Gr,SpCC_dH_Gr,depth,res_length,n_streams,S_ratio,m_dot,max_speed,C_Br,C_Gr,con satisfied
0,13037.6487332269,13037.6487332269,0,13575985.3557023,13575985.3557023,Inf,16.2785682223781,16.2785682223781,Inf,17.3008695050406,17.3008695050406,6000,6000,5,0,118.126299014057,1.06775650416288,220997603.798806,234876351.041348,1
0,14881.6392575323,14881.6392575323,0,15485262.7004791,15485262.7004791,Inf,16.1428863418186,16.1428863418186,Inf,17.0391415433601,17.0391415433601,6000,6000,6,0,129.517041493783,1.18625166793682,249976835.747036,263855582.989577,1
0,16737.473989284,16737.473989284,0,17411480.9412339,17411480.9412339,Inf,16.0230488904739,16.0230488904739,Inf,16.8201520943532,16.8201520943532,6000,6000,7,0,142.745895742491,1.32011722040864,278985010.376944,292863757.619486,1
0,18506.8007334711,18506.8007334711,0,19245319.7074834,19245319.7074834,Inf,16.0006562459301,16.0006562459301,Inf,16.7218054631678,16.7218054631678,6000,6000,8,0,154.772260294438,1.44546429099539,307937744.982465,321816492.225007,1
0,20190.2810669505,20190.2810669505,0,20987561.7331523,20987561.7331523,Inf,16.0493933811073,16.0493933811073,Inf,16.7106777846509,16.7106777846509,6000,6000,9,0,165.678674056337,1.56260615257215,336837634.365635,350716381.608177,1
0,21788.8984246301,21788.8984246301,0,22639339.7148997,22639339.7148997,Inf,16.1528401828857,16.1528401828857,Inf,16.7658769329552,16.7658769329552,6000,6000,10,0,175.547036791623,1.67184733123521,365689636.260832,379568383.503373,1
