W_net,Q_net,Total_power,W_net_avg,Q_net_avg,Total_power_avg,SpCC_W_Br,SpCC_Q_Br,SpCC_dH_Br,SpCC_W_Gr,SpCC_Q_Gr,SpCC_dH_Gr,depth,res_length,n_streams,S_ratio,m_dot,max_speed,C_Br,C_Gr,con satisfied
1324.27503558237,0,1324.27503558237,1368443.22511208,0,1368443.22511208,200.534761897848,Inf,200.534761897848,210.676759013881,Inf,210.676759013881,6000,8000,5,1,57.5452249150522,0.697744549043862,274420436.318575,288299183.561116,1
1558.05776499298,0,1558.05776499298,1617130.66704171,0,1617130.66704171,194.852873932148,Inf,194.852873932148,203.435202822076,Inf,203.435202822076,6000,8000,6,1,70.1084811569439,0.852268668903969,315102557.996888,328981305.239429,1
1765.88323422207,0,1765.88323422207,1838831.25202463,0,1838831.25202463,193.427665293065,Inf,193.427665293065,200.97525685551,Inf,200.97525685551,6000,8000,7,1,82.3411855148631,1.00374864032914,355680835.947047,369559583.189589,1
1949.33277473002,0,1949.33277473002,2035682.73443333,0,2035682.73443333,194.617714422528,Inf,194.617714422528,201.43545031417,Inf,201.43545031417,6000,8000,8,1,94.321764997866,1.15334022593362,396179921.064817,410058668.307358,1
2109.98646053224,0,2109.98646053224,2208928.52031928,0,2208928.52031928,197.673613458084,Inf,197.673613458084,203.95663579895,Inf,203.95663579895,6000,8000,9,1,106.444380197573,1.30563536667606,436646882.482132,450525629.724673,1
2246.29427543624,0,2246.29427543624,2355959.49723637,0,2355959.49723637,202.472291626779,Inf,202.472291626779,208.363202425043,Inf,208.363202425043,6000,8000,10,1,117.287730382506,1.44380809630546,477016518.385323,490895265.627864,1
