W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1228.77121784919,281.257020539342,0,292.55183851761,0,6000,10000,5,53.3714748984244,3.4205469735822,345600531.656763,359479278.899305,25943091.020673,319657440.636091,333536187.878632,1
1437.54565072432,278.48032452446,0,288.134798617542,0,6000,10000,6,64.4768046673534,4.14055239221451,400328179.332433,414206926.574975,28994533.488066,371333645.844367,385212393.086909,1
1625.91481278481,279.795422831533,0,288.331384945545,0,6000,10000,7,75.3375154769186,4.83749165544383,454923522.53118,468802269.773722,31913671.4785365,423009851.052643,436888598.295185,1
1793.77251524809,283.99589698724,0,291.733080562394,0,6000,10000,8,86.0737210404634,5.53923781663736,509424034.458939,523302781.701481,34737978.1980193,474686056.26092,488564803.503461,1
1941.61890232786,290.396106701079,0,297.544135197249,0,6000,10000,9,96.6647984455024,6.23616032217554,563838569.933232,577717317.175774,37476308.464036,526362261.469196,540241008.711738,1
2069.48766828728,298.694853201467,0,305.40122186228,0,6000,10000,10,106.285714731237,6.87552015020157,618145315.281314,632024062.523856,40106848.6038415,578038466.677473,591917213.920014,1
2177.24193198108,308.825654042621,0,315.200116631587,0,6000,10000,11,116.926027608923,7.58321502793969,672388163.653078,686266910.895619,42673491.7673284,629714671.885749,643593419.128291,1
2276.22142500206,319.146993596458,0,325.244268268463,0,6000,10000,12,127.930990121046,8.27257138484435,726449224.549254,740327971.791795,45058347.4552283,681390877.094026,695269624.336567,1
2354.24331562352,331.495297190736,0,337.390502308421,0,6000,10000,13,128.000076684094,8.34984651680281,780420587.571921,794299334.814463,47353505.2696193,733067082.302302,746945829.544844,1
2424.79423509924,344.083003030878,0,349.806683432969,0,6000,10000,14,131.63700692242,8.61368795889316,834330482.144908,848209229.38745,49587194.6343297,784743287.510579,798622034.75312,1
2481.64966391227,357.885198869618,0,363.477747827822,0,6000,10000,15,135.222267287278,8.86935753947203,888145683.493964,902024430.736506,51726190.7751095,836419492.718855,850298239.961397,1
