W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
1900.99133612253,77.2658091823982,Inf,82.5598427821299,Inf,6000,15000,5,87.1824758796688,5.66848869043473,146881633.834236,156945545.840467,1
2185.28577520353,74.6170093249727,Inf,79.2223163838603,Inf,6000,15000,6,100.68155952427,6.57700821945442,163059489.066092,173123401.072323,1
2435.62775191005,73.3264084524581,Inf,77.4583666297039,Inf,6000,15000,7,109.127201989353,7.15292078685811,178595835.374699,188659747.380931,1
2657.07914117167,72.91117853283,Inf,76.6987631215954,Inf,6000,15000,8,116.14068925933,7.63672057046594,193730771.637826,203794683.644058,1
2853.84090538871,73.1436563591998,Inf,76.6701010139206,Inf,6000,15000,9,122.986325096409,8.11453962081817,208740358.487579,218804270.493811,1
3021.25442243806,73.9426041370803,Inf,77.2736417125621,Inf,6000,15000,10,127.234841130754,8.41677888235183,223399419.755741,233463331.761972,1
