W_net,W_reservoir,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
2445.52920885535,18362.9330385958,217.809264328377,0,223.70783070231,0,6000,11000,7,111.589257536703,7.58425422696211,509537372.722818,523336326.694185,38948578.1126495,470588794.610168,484387748.581536,1
2987.61588093024,20845.2659311131,250.599622570899,0,257.276878882329,0,6000,11000,7,127.192403431135,2.08778788737584,705046004.679306,723832038.099053,64812779.9711621,640233224.708144,659019258.127891,1
3245.88943319746,22568.5328679178,298.26901612936,0,306.091166998051,0,6000,11000,7,136.904791248714,0.997838416380912,906500412.040119,930273524.908246,96622757.2339999,809877654.806119,833650767.674246,1
3453.61663132939,23998.2599079248,345.943315948682,0,354.879191848186,0,6000,11000,7,144.847058155544,0.593811260999981,1113421494.34355,1142181686.66006,133899409.439457,979522084.904094,1008282277.2206,1
3633.79939364903,25245.3547164747,393.023947845892,0,403.029331798631,0,6000,11000,7,151.784638434839,0.398215072235219,1325634882.25089,1359382154.01578,176468367.248824,1149166515.00207,1182913786.76696,1
