W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
2052.18477070969,187.16232315031,Inf,193.468504037995,Inf,6000,14000,5,88.8836943456727,1.42091623867632,384091669.219713,397033117.598759,1
2399.45026250185,185.110381953289,Inf,190.503887533001,Inf,6000,14000,6,106.560565708056,1.70405089949585,444163154.569638,457104602.948684,1
2718.94555738823,185.353066393216,Inf,190.112796996825,Inf,6000,14000,7,123.609535944813,1.97610225118263,503964896.418121,516906344.797167,1
3012.70539961807,187.061667075856,Inf,191.357290664106,Inf,6000,14000,8,140.254616920347,2.24128072149927,563561694.46099,576503142.840036,1
3281.36748525549,189.852967458837,Inf,193.796886705065,Inf,6000,14000,9,156.512974345936,2.49979200046314,622977354.398696,635918802.777742,1
3526.84268014977,193.456417939226,Inf,197.125832640337,Inf,6000,14000,10,172.762214213016,2.75896950426268,682290351.536954,695231799.916,1
