dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
2804.74534896429,99.2178027892178,104.166111999416,0.9,6000,5000,9,62.130876845157,3.96894041329812,278280670.907515,292159418.150057,28178789.6940722,250101881.213443,263980628.455985,1
3433.87733230244,95.6062627124749,99.6479758837593,0.9,6000,6000,9,76.8966528501232,4.92802953211681,328300178.354519,342178925.597061,31797615.1623195,296502563.1922,310381310.434741,1
4040.08482522152,94.7282465543789,98.1635079023335,0.9,6000,7000,9,91.3400115325279,5.88041221165759,382710151.424189,396588898.666731,35381209.2170357,347328942.207153,361207689.449695,1
4637.63493647555,95.1996184348157,98.1922531360475,0.9,6000,8000,9,106.203426334622,6.87318691868584,441501076.392443,455379823.634985,38920058.1341392,402581018.258304,416459765.500846,1
5227.2241731978,96.5526330242569,99.2077223762124,0.9,6000,9000,9,121.884787809154,7.93543130131563,504702257.330292,518581004.572834,42443465.9846402,462258791.345652,476137538.588193,1
5795.83303440741,98.7557243241853,101.150332167467,0.9,6000,10000,9,137.658506501198,9.03103365591303,572371689.374945,586250436.617486,46009427.9057485,526362261.469196,540241008.711738,1
