W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
1609.04733377089,92.0023333981209,0,100.627777131971,0,6000,13000,5,71.4811360981185,4.60489642006917,148036109.254947,161914856.497488,1
1867.41477740768,87.3253784950765,0,94.7574430853589,0,6000,13000,6,86.0935156833216,5.55320871544277,163072702.244425,176951449.486966,1
2095.47491481424,84.9388406612759,0,91.5620396050685,0,6000,13000,7,100.564604866486,6.51311883676819,177987209.899107,191865957.141649,1
2294.60272381992,83.9856619996161,0,90.034093433288,0,6000,13000,8,111.138116280445,7.24342815986422,192713728.786138,206592476.028679,1
2469.79219535382,83.8425946658018,0,89.4619934430149,0,6000,13000,9,118.178459986747,7.71913866185264,207073785.943811,220952533.186353,1
2626.05869113972,84.3623499403342,0,89.6473602446995,0,6000,13000,10,125.188749976997,8.22890946878424,221540482.265785,235419229.508327,1
2761.51976850005,85.3700895359658,0,90.3958537549487,0,6000,13000,11,131.563217713385,8.66717695703566,235751189.892189,249629937.134731,1
2878.55849781906,86.8199693345687,0,91.641392019936,0,6000,13000,12,136.809429199963,9.04394448285704,249916360.508413,263795107.750954,1
2972.86727476393,88.6804911686672,0,93.3489630376792,0,6000,13000,13,137,9.07866532048196,263635330.105323,277514077.347865,1
3058.85677806309,90.8833187671176,0,95.4205522008875,0,6000,13000,14,145.998432253777,9.70758844548746,277999055.623666,291877802.866207,1
3122.43603092023,93.4610256541588,0,97.9058716350231,0,6000,13000,15,149.496491766087,9.96609068570255,291826073.989305,305704821.231847,1
