dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
20107.6746234743,16.0394903970205,16.7297117927029,0,6000,7000,7,160.867981716135,7.94927668213688,322516854.029629,336395601.27217,38755140.1807966,283761713.848832,297640461.091374,1
14103.1777187489,21.4236875494859,22.4077740808562,0.111111111111111,6000,7000,7,64.8630806257708,4.06746317627444,302142072.901348,316020820.14389,18380359.0525158,283761713.848832,297640461.091374,1
14391.3679963033,21.1599739703443,22.1243539546589,0.222222222222222,6000,7000,7,70.8291006850223,4.53874427350799,304520972.199423,318399719.441964,20759258.3505904,283761713.848832,297640461.091374,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
