dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
18119.1146436466,15.8126961297571,16.5786688340254,0,6000,5000,9,145.849184791692,7.13103564155183,286512054.000214,300390801.242756,36410172.7867714,250101881.213443,263980628.455985,1
21222.9330236238,15.8910474749167,16.5449979551398,0,6000,6000,9,166.871545975664,8.29546625198949,337254636.235384,351133383.477925,40752073.043184,296502563.1922,310381310.434741,1
24251.4564787545,16.1795109133042,16.7517960152196,0,6000,7000,9,186.310393211712,9.42921156290488,392376704.76153,406255452.004072,45047762.5543768,347328942.207153,361207689.449695,1
27203.3149757085,16.6113710668831,17.1215569488219,0,6000,8000,9,204.246221309557,10.5358595296922,451884359.310791,465763106.553333,49303341.0524868,402581018.258304,416459765.500846,1
30077.3880541785,17.1478816310502,17.6093162216318,0,6000,9000,9,220.747659410642,11.617702458767,515763490.124218,529642237.36676,53504698.7785663,462258791.345652,476137538.588193,1
32860.7491699253,17.7706363442991,18.1929866434591,0,6000,10000,9,235.846143690527,12.6742344296307,583956423.49997,597835170.742512,57594162.0307742,526362261.469196,540241008.711738,1
