dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
20107.6746234743,16.0394903970205,16.7297117927029,0,6000,7000,7,160.867981716135,7.94927668213688,322516854.029629,336395601.27217,38755140.1807966,283761713.848832,297640461.091374,1
11281.2544794156,26.7827398528802,28.0129884274395,0.111111111111111,6000,7000,7,64.8720538526973,4.06793746863602,302142903.936329,316021651.17887,18381190.0874963,283761713.848832,297640461.091374,1
11460.754449672,26.5716752193516,27.7826554653282,0.222222222222222,6000,7000,7,70.7295829013688,4.53300274265628,304531445.005422,318410192.247964,20769731.15659,283761713.848832,297640461.091374,1
11414.6047671038,26.8078667198927,28.0237430052056,0.333333333333333,6000,7000,7,70.7316902408898,4.5331243396214,306001203.256771,319879950.499312,22239489.4079383,283761713.848832,297640461.091374,1
11362.5812638955,27.0400305018687,28.2614736687168,0.444444444444444,6000,7000,7,70.8310325399341,4.53885571266393,307244543.955697,321123291.198238,23482830.1068643,283761713.848832,297640461.091374,1
11315.587118111,27.2580258367687,28.4845417124079,0.555555555555556,6000,7000,7,70.8310851062804,4.53885874494742,308440566.023675,322319313.266217,24678852.1748431,283761713.848832,297640461.091374,1
11268.5647947833,27.4742614784789,28.705895452751,0.666666666666667,6000,7000,7,70.8311345254174,4.53886159568467,309595495.65906,323474242.901601,25833781.8102273,283761713.848832,297640461.091374,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
