dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1877.68317543153,111.513263847829,118.904685054632,0.9,6000,5000,6,39.2684931778128,2.50127029100706,209386579.364526,223265326.607067,22226520.3573274,187160059.007198,201038806.24974,1
2355.52367699773,103.19576199257,109.08776273027,0.9,6000,6000,6,49.8471386484943,3.18058583069383,243080060.739321,256958807.981862,24986213.7462847,218093846.993036,231972594.235578,1
2817.6121468696,99.2247318639074,104.150444317966,0.9,6000,7000,6,60.1046942122875,3.84370935876656,279576809.769624,293455557.012166,27598710.0999524,251978099.669672,265856846.912213,1
3265.59123877656,97.672331175923,101.922326422646,0.9,6000,8000,6,70.0538518545027,4.49261759762655,318957908.958977,332836656.201519,30145091.9218714,288812817.037106,302691564.279647,1
3705.64288450318,97.4806417787931,101.225942574124,0.9,6000,9000,6,80.1230370531071,5.15394099262455,361228446.584388,375107193.826929,32630447.4890504,328597999.095337,342476746.337879,1
4144.96541512454,98.0487430546343,101.397081545445,0.9,6000,10000,6,90.557478717946,5.84367285739008,406408648.957892,420287396.200433,35075003.1135247,371333645.844367,385212393.086909,1
