dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
955.11334439843,217.703490449812,232.234485460968,1,6000,5000,6,39.2791923945457,2.5019072559874,207931508.850732,221810256.093273,20771449.8435335,187160059.007198,201038806.24974,1
1195.62597079329,202.043694562468,213.65162846619,1,6000,6000,6,49.9945101758085,3.19136475741952,241568688.453914,255447435.696455,23474841.4608778,218093846.993036,231972594.235578,1
1420.51449075418,195.70332247969,205.473548220346,1,6000,7000,6,60.2500800424902,3.85485090957814,277999405.471138,291878152.713679,26021305.8014657,251978099.669672,265856846.912213,1
1636.07165010396,193.932476346741,202.415446662655,1,6000,8000,6,70.2235739774244,4.50243018101138,317287426.58536,331166173.827901,28474609.5482542,288812817.037106,302691564.279647,1
1845.35449459381,194.832841636713,202.353752812967,1,6000,9000,6,80.2456452569716,5.1610472442152,359535660.008792,373414407.251334,30937660.9134547,328597999.095337,342476746.337879,1
2046.9238300894,197.699344857031,204.479639774959,1,6000,10000,6,90.3338668084838,5.83063680659509,404675500.180918,418554247.42346,33341854.3365516,371333645.844367,385212393.086909,1
