W_net,W_reservoir,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1832.11906525645,13429.331403772,201.836273492736,0,209.738011873193,0,6000,8000,7,83.1704311286369,5.54680958029491,352470470.873487,366269424.844854,30824982.2870049,321645488.586482,335444442.557849,1
2141.02136108089,14833.359755803,250.025313048416,0,259.341596837595,0,6000,8000,7,90.3860131669009,1.48283360950926,504169258.150545,522955291.570292,52345439.3359264,451823818.814618,470609852.234365,1
2322.74812184856,16060.3709274331,303.741346635477,0,314.668938273446,0,6000,8000,7,97.3201026926314,0.709258158551326,660793114.851812,684566227.719939,78790965.8090573,582002149.042755,605775261.910882,1
2470.26260651254,17071.8417334518,356.837461682188,0,369.324420059666,0,6000,8000,7,102.98412910452,0.422147411786068,821874608.169082,850634800.485589,109694128.898192,712180479.270891,740940671.587398,1
2598.06455908137,17952.5330835026,409.154139161661,0,423.140532444251,0,6000,8000,7,107.857203050303,0.28295185441072,987233495.371918,1020980767.13681,144874685.872892,842358809.499027,876106081.263914,1
