dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
6438.07532297428,31.7825130219199,33.9382422649462,0.4,6000,5000,6,39.2787252357022,2.50187944514132,204618212.788531,218496960.031073,17458153.7813328,187160059.007198,201038806.24974,1
8175.28656774104,29.04295924349,30.7406058186335,0.4,6000,6000,6,49.9940473932483,3.19133772146796,237434514.590755,251313261.833296,19340667.5977186,218093846.993036,231972594.235578,1
9800.24492402949,27.8645680249808,29.280731330095,0.4,6000,7000,6,60.1040220806513,3.84367042813757,273079591.347093,286958338.589634,21101491.677421,251978099.669672,265856846.912213,1
11428.7060467752,27.2670295148165,28.4814055942903,0.4,6000,8000,6,70.1594372552753,4.49872264737182,311626865.09358,325505612.336122,22814048.0564749,288812817.037106,302691564.279647,1
13035.048440289,27.0889708581438,28.1536962641227,0.4,6000,9000,6,80.3486609787634,5.16701643430148,353106047.33348,366984794.576022,24508048.2381426,328597999.095337,342476746.337879,1
14638.8879063094,27.1547969990946,28.1028708781603,0.4,6000,10000,6,90.5568219529576,5.84363457655477,397516029.388333,411394776.630875,26182383.5439663,371333645.844367,385212393.086909,1
