W_net,W_reservoir,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,radius,radius_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1112.11563403329,9134.80790325693,231.933455342605,0,242.375199081036,0,0.2,0.25,6000,7000,7,49.6193318425275,14.5613439036146,251117424.0732,262422838.320377,20772609.4550868,230344814.618113,241650228.865291,1
1605.86783569635,11554.524434883,200.829970716735,0,209.86082432132,0,0.2,0.5,6000,7000,7,71.2861320781734,4.73252169915007,306863962.514529,320662916.485896,27981824.990747,278882137.523782,292681091.495149,1
1762.31214545579,12338.9168120152,217.89878760628,0,227.678660021942,0,0.2,0.75,6000,7000,7,75.5165536225179,2.20959094546736,363002140.770205,379294634.465763,35582680.3407551,327419460.42945,343711954.125008,1
1874.45251755849,13060.2009536059,238.089894469669,0,248.736307983473,0,0.2,1,6000,7000,7,79.5533715670725,1.30713921729016,420119386.553245,438905419.972993,44162603.2181265,375956783.335119,394742816.754866,1
