W_net,W_reservoir,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,radius,radius_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1894.93020311857,12987.3217485384,326.237809270325,0,338.16408189312,0,1,0.25,6000,7000,7,79.044161498487,0.829239445343873,582093127.019161,603372700.163098,77805749.6042963,504287377.414865,525566950.558802,1
2248.65368558538,15487.6832632748,421.684843011349,0,437.837879044755,0,1,0.5,6000,7000,7,93.0548807475926,0.244096123137793,880993081.845838,914740353.610725,134019089.90263,746973991.943208,780721263.708095,1
2512.63858615388,17356.3760383354,519.003210488017,0,539.000181978253,0,1,0.75,6000,7000,7,103.233151844194,0.120371952138349,1199467530.0992,1245682500.48504,209806923.627649,989660606.471551,1035875576.85739,1
2735.84793541407,18925.0605876827,614.857045022627,0,638.358904703899,0,1,1,6000,7000,7,111.963937592475,0.073471567709253,1535259462.39502,1593942131.40181,302912241.395127,1232347220.99989,1291029890.00668,1
