dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
27326.5928521545,17.2767666639859,17.7846509552194,0,6000,10000,7,206.51231564506,10.6931642888404,472115168.428419,485993915.670961,49105317.3757761,423009851.052643,436888598.295185,1
21145.0350344706,21.0745925176207,21.7309521415191,0.111111111111111,6000,10000,7,98.0201031225442,6.20561810262409,445622997.122283,459501744.364824,22613146.0696393,423009851.052643,436888598.295185,1
21330.4812950175,21.0458145708407,21.6964678332115,0.222222222222222,6000,10000,7,106.237491944648,6.88808628329308,448917354.041724,462796101.284266,25907502.9890806,423009851.052643,436888598.295185,1
18611.6116419088,24.2211640329868,24.9668677103239,0.333333333333333,6000,10000,7,106.237760296278,6.88810209661923,450794898.496918,464673645.73946,27785047.4442748,423009851.052643,436888598.295185,1
15892.1970232435,28.4721441584825,29.3454499211938,0.444444444444444,6000,10000,7,106.238026357492,6.88811777497266,452484924.640795,466363671.883337,29475073.5881518,423009851.052643,436888598.295185,1
13172.3172929663,34.4751186764176,35.528748568096,0.555555555555556,6000,10000,7,106.238289783179,6.88813329801676,454117201.918439,467995949.160981,31107350.8657958,423009851.052643,436888598.295185,1
10452.6086037512,43.5993763723227,44.9271547067723,0.666666666666667,6000,10000,7,106.238618889008,6.88815269142839,455727216.587527,469605963.830069,32717365.5348837,423009851.052643,436888598.295185,1
7720.82168342563,59.233007345728,61.0305812065951,0.777777777777778,6000,10000,7,105.724759408693,6.85786464073401,457327487.489407,471206234.731948,34317636.4367632,423009851.052643,436888598.295185,1
5012.45068849774,91.5536893924021,94.3225440116385,0.888888888888889,6000,10000,7,106.165398654448,6.8838378482058,458908353.429454,472787100.671996,35898502.3768108,423009851.052643,436888598.295185,1
2294.58304386648,200.475349954722,206.523833263983,1,6000,10000,7,106.087886400848,6.87926974500068,460007338.719303,473886085.961845,36997487.6666598,423009851.052643,436888598.295185,1
