dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
2215.20350292577,104.953014092563,111.218238585126,0.9,6000,5000,7,47.4159121780891,3.02418122492681,232492284.460463,246371031.703005,24351618.0511836,208140666.40928,222019413.651821,1
2743.03282814021,99.0272453269625,104.086881179717,0.9,6000,6000,7,59.1933881324712,3.78507928010023,271634984.812153,285513732.054694,27404899.0860621,244230085.726091,258108832.968632,1
3257.10519481357,96.4206044234152,100.681672584383,0.9,6000,7000,7,70.8356891742414,4.53912432830989,314052051.55457,327930798.797111,30290337.7057374,283761713.848832,297640461.091374,1
3754.53171465125,95.8591254506888,99.5556576143093,0.9,6000,8000,7,82.2999353484312,5.29245694615542,359906126.643344,373784873.885885,33170575.8658386,326735550.777505,340614298.020047,1
4247.52591303182,96.3259694372126,99.5934591539817,0.9,6000,9000,7,93.965422712399,6.06662294281303,409147051.282472,423025798.525014,35995454.7703631,373151596.512109,387030343.75465,1
4739.49738988891,97.4381810795949,100.366497333582,0.9,6000,10000,7,106.239042041523,6.8881776267749,461808004.902263,475686752.144804,38798153.8496196,423009851.052643,436888598.295185,1
