W_net,W_reservoir,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1117.32005586393,7766.28340563133,212.715300470117,0,225.713668557024,0,6000,5000,7,47.764489576891,3.15005780459484,225816704.109919,239615658.081286,22134642.2937447,203682061.816174,217481015.787541,1
1267.88095102416,8646.4180759587,278.894329318593,0,294.602709806818,0,6000,5000,7,52.7905735708533,0.865663963244934,333536496.336115,352322529.755862,39142204.1616437,294394292.174471,313180325.594219,1
1371.72529080907,9339.36708811088,345.76373569981,0,364.235755754291,0,6000,5000,7,56.6508025635334,0.412867790693321,444990872.154383,468763985.02251,59884349.6216143,385106522.532769,408879635.400896,1
1456.61341398008,9918.9117342803,411.367943798408,0,432.501465647504,0,6000,5000,7,59.9368918431209,0.245669355713723,559822506.67769,588582698.994197,84003753.7866242,475818752.891066,504578945.207573,1
1529.74050618005,10411.4460661336,476.033315185465,0,499.730794592408,0,6000,5000,7,62.6897936996108,0.164444874739426,677912843.844366,711660115.609252,111381860.595002,566530983.249363,600278255.01425,1
