W_net,W_reservoir,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1573.92374860348,10700.4827379859,208.463723854763,0,217.747921556584,0,6000,9000,5,64.9948026254286,4.17630917949666,311627932.271595,325506679.514136,27583530.5930288,284044401.678566,297923148.921107,1
1840.79060929886,12932.3597253388,205.284573168541,0,213.206263535434,0,6000,9000,6,79.5013134687708,5.12549869166663,359657165.559777,373535912.802319,31059166.4644398,328597999.095337,342476746.337879,1
2076.33057114219,15150.9965339573,206.018518067344,0,213.034747198464,0,6000,9000,7,93.3202530555707,6.02442067030909,407523597.947708,421402345.19025,34372001.4355995,373151596.512109,387030343.75465,1
2278.67418446313,17152.8596986465,209.353255860089,0,215.734958163229,0,6000,9000,8,106.974683252324,6.93385465574836,455295591.124006,469174338.366547,37590397.1951255,417705193.92888,431583941.171422,1
2452.88495980785,18941.3880157341,214.628313762022,0,220.551397548514,0,6000,9000,9,117.29340741044,7.64890923576024,502908995.579195,516787742.821737,40650204.2335432,462258791.345652,476137538.588193,1
2604.21355266736,20565.7057467319,221.041242783612,0,226.615974676985,0,6000,9000,10,125.817495174769,8.23472163909314,550300103.654877,564178850.897418,43487714.8924534,506812388.762423,520691136.004965,1
2736.44891370565,22063.5069754398,228.423203347648,0,233.72834242059,0,6000,9000,11,134.149039173691,8.80140543051845,597576776.028876,611455523.271418,46210789.8496811,551365986.179195,565244733.421736,1
2851.07704714044,23295.4847371168,236.425486476062,0,241.514020880239,0,6000,9000,12,139.287513925059,9.19007482134268,644839811.990422,658718559.232964,48920228.3944561,595919583.595966,609798330.838508,1
