dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1448.30742030055,128.386296005523,137.969031720335,0.9,6000,5000,5,29.9752772006417,1.90769382087896,185942825.169702,199821572.412243,19763373.5645851,166179451.605116,180058198.847658,1
1929.78983372407,111.099527201373,118.291371100643,0.9,6000,6000,5,40.172601616425,2.55927138040147,214398738.124761,228277485.367303,22441129.8647797,191957608.259981,205836355.502523,1
2345.40029676514,104.44266661501,110.36009881696,0.9,6000,7000,5,49.0957786745419,3.13467167102641,244959861.273787,258838608.516329,24765375.783276,220194485.490511,234073232.733053,1
2738.50501546682,101.460824657237,106.528826053676,0.9,6000,8000,5,57.6150019163155,3.68470743694552,277850977.197243,291729724.439784,26960893.9005368,250890083.296706,264768830.539248,1
3124.96852851039,100.212186609579,104.653430454411,0.9,6000,9000,5,66.2012776384532,4.24339691010496,313159929.328143,327038676.570685,29115527.6495773,284044401.678566,297923148.921107,1
3500.95875952231,100.225680383795,104.18995080109,0.9,6000,10000,5,74.751722390729,4.80390049836802,350885973.668732,364764720.911274,31228533.0326416,319657440.636091,333536187.878632,1
