dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
8878.57547253883,28.0942227375836,29.6573954881525,0.4,6000,5000,8,54.9299492373482,3.50523148044857,249436676.917953,263315424.160494,20315403.1065913,229121273.811361,243000021.053903,1
10968.7673228565,26.7082322241486,27.9735291197825,0.4,6000,6000,8,68.0841824766529,4.35736881396705,292956384.871505,306835132.114047,22590060.4123597,270366324.459145,284245071.701687,1
13040.0024062993,26.1013999313697,27.1657208425251,0.4,6000,7000,8,81.3159300106267,5.22171047743359,340362317.912841,354241065.155382,24816989.8848476,315545328.027993,329424075.270535,1
15095.8219395151,25.9457181556617,26.865094874475,0.4,6000,8000,8,94.6000972505799,6.10013461190048,391671941.370713,405550688.613254,27013656.8528082,364658284.517905,378537031.760446,1
17162.6653932657,26.0398955083219,26.8485547069093,0.4,6000,9000,8,108.101582645873,7.00563898105027,446914013.48493,460792760.727472,29208819.5560501,417705193.92888,431583941.171422,1
19248.4817054362,26.2934571185486,27.0144878707362,0.4,6000,10000,8,121.907195794523,7.94741586205238,506109128.319052,519987875.561594,31423072.0581324,474686056.26092,488564803.503461,1
