W_net,W_reservoir,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
2637.89402063048,19720.0515464267,225.177746287745,0,230.643308487129,0,6000,12000,7,115.526372256165,7.89461826427914,568508278.389202,582307232.360569,41387297.4926091,527120980.896592,540919934.86796,1
3266.83812576932,22830.8308205076,253.15253447271,0,259.259007120042,0,6000,12000,7,139.323975685569,2.28760634937171,778801813.674909,797587847.094657,68881036.0570618,709920777.617847,728706811.037595,1
3551.48061783324,24722.1938846701,299.307176209121,0,306.457317156952,0,6000,12000,7,149.940429263212,1.0929617962555,995150072.449631,1018923185.31776,102429498.110529,892720574.339102,916493687.207229,1
3779.41165324421,26292.5397917846,345.641494266768,0,353.807613270626,0,6000,12000,7,158.730241160522,0.650729073109462,1217312145.82844,1246072338.14495,141791774.768081,1075520371.06036,1104280563.37686,1
3976.62007978443,27657.0822213307,391.523079428022,0,400.666398089424,0,6000,12000,7,166.320021119173,0.436356989373113,1445080966.00192,1478828237.76681,186760798.220313,1258320167.78161,1292067439.5465,1
