W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1484.70177250822,287.928484012592,0,297.276319045546,0,6000,12000,5,65.3978033116734,4.19585196914473,427487930.5691,441366677.811642,29228250.2909651,398259680.278135,412138427.520676,1
1727.0371580364,288.627804077041,0,296.663964259212,0,6000,12000,6,78.8217369302472,5.07168602891718,498470942.483499,512349689.72604,32814609.0686783,465656333.41482,479535080.657362,1
1943.05065666904,293.007654838088,0,300.150416245212,0,6000,12000,7,92.0821677195564,5.94436667109516,569328716.142202,583207463.384744,36275729.5906965,533052986.551506,546931733.794047,1
2132.03105039309,300.210098422916,0,306.719734968773,0,6000,12000,8,103.297363482801,6.70591338941938,640057251.47922,653935998.721762,39607611.7910295,600449639.688191,614328386.930732,1
2297.41011989568,309.365532409462,0,315.406572762837,0,6000,12000,9,116.164150552901,7.5716384242294,710739504.904414,724618252.146955,42893212.0795375,667846292.824876,681725040.067418,1
2443.01614864872,319.70050597465,0,325.381494718919,0,6000,12000,10,122.346536413345,7.99622060166742,781033498.827236,794912246.069778,45790552.865675,735242945.961562,749121693.204103,1
2571.01220042897,331.137508442944,0,336.535673119186,0,6000,12000,11,128.632420007016,8.44707542757944,851358574.22646,865237321.469001,48718975.1282126,802639599.098247,816518346.340788,1
2681.39049773733,343.546495857593,0,348.722447385075,0,6000,12000,12,128.589724033226,8.45518389421129,921182309.523506,935061056.766047,51146057.2885738,870036252.234932,883914999.477474,1
2775.68634380122,357.214928003026,0,362.215041677086,0,6000,12000,13,137.323668967622,9.07441300771295,991516597.459936,1005395344.70248,54083692.0883188,937432905.371618,951311652.614159,1
2851.01547147725,372.394566094012,0,377.262567471552,0,6000,12000,14,145.996192304095,9.66133279746047,1061702669.42808,1075581416.67063,56873110.9197814,1004829558.5083,1018708305.75084,1
2913.92991211202,388.341586135267,0,393.10448286276,0,6000,12000,15,149.68554008049,9.92947983333083,1131600163.95658,1145478911.19912,59373952.3115938,1072226211.64499,1086104958.88753,1
