W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
964.157146471457,125.186521699419,0,139.581215856211,0,6000,8000,5,41.2518069201819,2.63658747773263,120699479.538399,134578226.780941,1
1138.11741408924,114.761411515004,0,126.955889053728,0,6000,8000,6,50.2064411556158,3.21332450935693,130611960.910687,144490708.153229,1
1294.7357491485,108.434689307529,0,119.154055982674,0,6000,8000,7,58.8751412788324,3.77294042891788,140394268.694268,154273015.93681,1
1436.03484890997,104.5043324931,0,114.168963719199,0,6000,8000,8,67.3059173265927,4.30929431110787,150071863.322166,163950610.564708,1
1562.09132263161,102.216741684762,0,111.101463750281,0,6000,8000,9,75.6160422296496,4.84728763508184,159671885.213443,173550632.455985,1
1673.53720064432,101.103093161597,0,109.396154849858,0,6000,8000,10,83.7768625542615,5.37728318061703,169199787.506142,183078534.748684,1
1770.67028672528,100.902254655222,0,108.740386546061,0,6000,8000,11,91.8141511608484,5.90088565111753,178664624.18159,192543371.424131,1
1853.60319936661,101.461398501163,0,108.948840930743,0,6000,8000,12,99.7096956827523,6.41713043202534,188069172.873967,201947920.116508,1
1923.04872459257,102.652108736403,0,109.869163127722,0,6000,8000,13,106.17905027767,6.85722910814021,197405006.782277,211283754.024819,1
1981.40217820374,104.182336446092,0,111.186844362361,0,6000,8000,14,108.002746896875,6.97771445907002,206427108.364641,220305855.607182,1
2029.09245167208,106.187331624589,0,113.027210818415,0,6000,8000,15,111.710400415799,7.21924387203604,215463913.062654,229342660.305196,1
