W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
1357.5367384567,101.04441512915,0,111.26789332269,0,6000,11000,5,59.3922085177315,3.81232243904148,137171505.753691,151050252.996232,1
1583.81335778103,94.7987480439493,0,103.561615950295,0,6000,11000,6,71.6136768445911,4.59781755974287,150143523.452925,164022270.695467,1
1786.3619532941,91.2432077182912,0,99.0124883038684,0,6000,11000,7,83.672064360071,5.38608692023633,162993394.764466,176872142.007007,1
1965.85418325707,89.3974806449667,0,96.4573874075054,0,6000,11000,8,95.5889015847798,6.17122872075553,175742411.298551,189621158.541092,1
2121.78762467414,88.7623217767573,0,95.3033851146458,0,6000,11000,9,105.65417415748,6.84397413151354,188334795.883267,202213543.125809,1
2258.12823875927,88.9018269916347,0,95.0479558980104,0,6000,11000,10,112.700194087984,7.33022695894637,200751726.007101,214630473.249643,1
2377.34300278879,89.6087676408148,0,95.4466914180151,0,6000,11000,11,119.29651978246,7.77586465129367,213030776.739418,226909523.98196,1
2481.22049799441,90.7917116948891,0,96.3852279719632,0,6000,11000,12,124.283421369865,8.13943862676694,225274256.105358,239153003.347899,1
2569.1917074971,92.3415979760334,0,97.7435877154687,0,6000,11000,13,126.681294530716,8.30784206774763,237243267.777056,251122015.019598,1
2642.79236733919,94.3183327247026,0,99.5698793138563,0,6000,11000,14,130.690366694579,8.59045977309029,249263769.825003,263142517.067544,1
2703.07657775955,96.6725751993637,0,101.807001414564,0,6000,11000,15,135.508210763369,8.92924813838316,261313373.733099,275192120.975641,1
