W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
826.532883374175,291.521913579913,0,308.313438178286,0,6000,7000,5,35.0459119315319,2.23704313426421,240952447.797962,254831195.040504,20757962.3074512,220194485.490511,234073232.733053,1
983.863237692866,279.542388329844,0,293.648766849573,0,6000,7000,6,43.0231855699784,2.74960238258528,275031479.254597,288910226.497138,23053379.584925,251978099.669672,265856846.912213,1
1124.31932961571,274.804778991402,0,287.148911905389,0,6000,7000,7,50.6371764837474,3.23950531473682,308968324.890806,322847072.133348,25206611.041974,283761713.848832,297640461.091374,1
1250.71497496476,274.087786967835,0,285.184437699896,0,6000,7000,8,58.0302570180478,3.71581320695008,342805699.615622,356684446.858163,27260371.5876288,315545328.027993,329424075.270535,1
1364.18777883529,276.035836484816,0,286.209470538619,0,6000,7000,9,65.267756221729,4.182624732149,376564714.653161,390443461.895702,29235772.4460072,347328942.207153,361207689.449695,1
1465.03641780824,280.028239794588,0,289.501551907405,0,6000,7000,10,72.3304929214283,4.6390334970288,410251569.313808,424130316.55635,31139012.9274941,379112556.386314,392991303.628856,1
1554.31452347571,285.574548898305,0,294.503724449922,0,6000,7000,11,79.2534840157184,5.07549601471434,443872668.88766,457751416.130201,32976498.3221851,410896170.565475,424774917.808016,1
1631.25911398384,292.683578834813,0,301.191575586259,0,6000,7000,12,86.0722933140711,5.51609362205225,477442755.487696,491321502.730238,34762970.7430609,442679784.744635,456558531.987177,1
1696.52963047924,301.180130908626,0,309.36079984196,0,6000,7000,13,92.7683247978076,5.9492938218611,510961016.198102,524839763.440644,36497617.2743061,474463398.923796,488342146.166337,1
1750.22002646071,311.045110026355,0,318.974825737931,0,6000,7000,14,98.5475578310024,6.32469461579569,544397380.700801,558276127.943342,38150367.5978442,506247013.102956,520125760.345498,1
1793.53612595979,322.177878443,0,329.916081784243,0,6000,7000,15,104.504956080695,6.72448548454523,577837663.972603,591716411.215145,39807036.6904861,538030627.282117,551909374.524659,1
