W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
541.699541990137,191.48152849748,0,217.102276101498,0,6000,5000,5,22.9247951126097,1.45465227473457,103725456.286656,117604203.529198,1
674.60124811486,164.162644710765,0,184.735905257384,0,6000,5000,6,29.6157607325942,1.88110527904688,110744325.015719,124623072.25826,1
768.677453239289,152.68149779056,0,170.736856620269,0,6000,5000,7,33.8320670427931,2.15805934359627,117362824.878408,131241572.12095,1
864.539589568783,143.449368157723,0,159.502707310721,0,6000,5000,8,38.9818861058105,2.48800298353494,124017657.870979,137896405.11352,1
954.299749364597,136.889612149543,0,151.432995663771,0,6000,5000,9,44.5524479631015,2.84393899147349,130633722.564926,144512469.807467,1
1029.80903320473,133.160719540944,0,146.637730127413,0,6000,5000,10,49.2135975486084,3.14226812973825,137130111.851305,151008859.093847,1
1100.61398241927,130.486878866736,0,143.096883340816,0,6000,5000,11,54.5017488441348,3.47947649058083,143615683.40298,157494430.645522,1
1161.03809423318,129.218080774044,0,141.171820544924,0,6000,5000,12,59.2724066158226,3.78362652594833,150027114.242365,163905861.484907,1
1211.54979969868,129.056495144512,0,140.511861854154,0,6000,5000,13,63.3536075833419,4.04443368242658,156358370.842147,170237118.084689,1
1258.23188695898,129.323221978103,0,140.3535792488,0,6000,5000,14,68.4810253864085,4.3688939117459,162718601.617124,176597348.859665,1
1294.29307798663,130.541589628721,0,141.264622517169,0,6000,5000,15,72.2110216901215,4.59620557004011,168959075.845824,182837823.088366,1
