W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
823.607399947941,139.717150222699,0,156.568318926888,0,6000,7000,5,34.7384512022563,2.21460709943573,115072078.823053,128950826.065594,1
983.859964889648,126.058926728173,0,140.165352172671,0,6000,7000,6,43.0228271632426,2.74958172919774,124024331.224807,137903078.467349,1
1124.42763325236,118.100271494517,0,130.443215435158,0,6000,7000,7,50.6512800696569,3.24031129728074,132795208.763041,146673956.005582,1
1250.8363751233,113.096488554134,0,124.19206229868,0,6000,7000,8,58.048845610949,3.71687070435363,141465201.782226,155343949.024768,1
1364.18024918022,109.995659103842,0,120.169349311483,0,6000,7000,9,65.2664007355016,4.18254777477329,150053905.645022,163932652.887564,1
1465.48969369032,108.201578399256,0,117.671960417155,0,6000,7000,10,72.3089357808857,4.62736965122703,158568297.985135,172447045.227676,1
1553.7856263548,107.499453744291,0,116.431668721142,0,6000,7000,11,79.2613144583908,5.08755016464119,167031106.068871,180909853.311413,1
1630.36330747614,107.581592616452,0,116.094264104396,0,6000,7000,12,85.7878880326308,5.49994401002872,175397081.16171,189275828.404251,1
1696.53432013859,108.326239296546,0,116.506885616396,0,6000,7000,13,92.7702821651073,5.94940528206043,183779182.738135,197657929.980676,1
1750.09052780568,109.731437700524,0,117.661740174615,0,6000,7000,14,97.4476781041931,6.26661228781078,192039949.722186,205918696.964728,1
1794.1336285404,111.622974627221,0,119.358600904865,0,6000,7000,15,102.998239873786,6.62731458361889,200266532.496409,214145279.738951,1
