W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
504.636037746283,362.176842758452,0,389.679332086255,0,6000,5000,5,20.6395301956544,1.31240364417618,182767486.893084,196646234.135626,16588035.2879675,166179451.605116,180058198.847658,1
655.531585541818,314.046684690489,0,335.218429193189,0,6000,5000,6,27.9583054127877,1.7816833870207,205867521.149308,219746268.391849,18707462.1421094,187160059.007198,201038806.24974,1
768.928425730009,297.26197013442,0,315.311435829963,0,6000,5000,7,33.8548152742024,2.15939031807607,228573178.724861,242451925.967402,20432512.3155809,208140666.40928,222019413.651821,1
864.7498011177,290.371591027549,0,306.421027783248,0,6000,5000,8,39.0146384176998,2.48651512856494,251098775.591303,264977522.833845,21977501.7799417,229121273.811361,243000021.053903,1
952.075017248461,287.343344787321,0,301.920712107232,0,6000,5000,9,44.2178164837344,2.81884780495059,273572419.944619,287451167.18716,23470538.7311757,250101881.213443,263980628.455985,1
1029.74540223667,287.426202567186,0,300.904045937398,0,6000,5000,10,49.2351874176616,3.13905941356267,295975810.575906,309854557.818447,24893321.9603808,271082488.615525,284961235.858066,1
1100.61401733401,289.265127180185,0,301.875131254238,0,6000,5000,11,54.5017543644946,3.4794768036996,318369253.700417,332248000.942958,26306157.6828105,292063096.017606,305941843.260148,1
1159.49696608137,293.78839339819,0,305.758021304545,0,6000,5000,12,58.8450315380348,3.75668026618993,340646750.81512,354525498.057662,27603047.3954323,313043703.419688,326922450.66223,1
1213.82654604706,298.985193241376,0,310.41907338491,0,6000,5000,13,63.890360748483,4.06873801962945,362916164.431392,376794911.673933,28891853.6096218,334024310.82177,347903058.064311,1
1258.62599574418,305.990989885182,0,317.017893261936,0,6000,5000,14,68.4512129983808,4.35745747334623,385128214.332984,399006961.575525,30123296.1091323,355004918.223851,368883665.466393,1
1295.48152665996,314.405218947226,0,325.118414741167,0,6000,5000,15,72.9373756036685,4.65090376737619,407306153.03161,421184900.274152,31320627.405677,375985525.625933,389864272.868474,1
