W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
1484.71055325008,96.0501849005663,0,105.397964649394,0,6000,12000,5,65.3992522732682,4.19593463162723,142606723.163493,156485470.406034,1
1725.80079731847,90.7308021215488,0,98.7727193950292,0,6000,12000,6,78.5539472529952,5.05637012949294,156583290.642713,170462037.885255,1
1943.05093459038,87.7459220207857,0,94.8886824062552,0,6000,12000,7,92.0822532778991,5.94437159735719,170494795.788983,184373543.031524,1
2132.66298162647,86.4070924216215,0,92.9148000913805,0,6000,12000,8,105.241632090975,6.81918417908561,184277207.357569,198155954.600111,1
2297.84178555652,86.0996706123005,0,92.1395761139669,0,6000,12000,9,114.039645619858,7.42841467456294,197843420.855597,211722168.098138,1
2433.05268709948,86.5785532028817,0,92.2828058547579,0,6000,12000,10,110.005501179931,7.18751099360636,210650181.515457,224528928.757999,1
2571.68519973988,87.2914053498955,0,92.6881573489137,0,6000,12000,11,126.320277131929,8.28934024895687,224486015.202821,238364762.445363,1
2681.39967192677,88.5610652868431,0,93.7369991052316,0,6000,12000,12,128.594168171994,8.45545314316796,237467611.405626,251346358.648168,1
2775.26229780238,90.3622798376751,0,95.3631575037362,0,6000,12000,13,136.995181586037,9.05421034804956,250779028.376968,264657775.61951,1
2853.61238557644,92.4042859218097,0,97.2678572017395,0,6000,12000,14,140.036879119618,9.26062195717783,263686014.786823,277564762.029364,1
2915.78602755026,94.857559050879,0,99.6174238391063,0,6000,12000,15,143.624840373204,9.51934114208179,276584345.288077,290463092.530619,1
