W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr
1437.9227734369,240.054785159074,Inf,249.054884898863,Inf,6000,10000,5,61.5738236994552,0.98280009285976,345180242.452735,358121690.831781
1689.9705150819,235.426834016602,Inf,243.084629382588,Inf,6000,10000,6,74.2758970637294,1.18598034181143,397864407.947139,410805856.326185
1921.8507596196,234.327736532711,Inf,241.06158322412,Inf,6000,10000,7,86.6527405176975,1.38385075900207,450342938.455331,463284386.834377
2133.75925145664,235.556464450093,Inf,241.621557487282,Inf,6000,10000,8,98.5378986310731,1.57295436902804,502620785.260803,515562233.639849
2327.4903907469,238.344721653118,Inf,243.904980217663,Inf,6000,10000,9,110.122910882985,1.75686616904043,554745049.332876,567686497.711922
2503.58358658836,242.345247787668,Inf,247.514417472425,Inf,6000,10000,10,121.423148989289,1.9357777512546,606731584.648896,619673033.027942
2663.62025748722,247.271270889831,Inf,252.129864506045,Inf,6000,10000,11,132.732416020591,2.11534641812634,658636766.236764,671578214.61581
2806.45260831412,253.144786300995,Inf,257.756105352208,Inf,6000,10000,12,143.361944930685,2.28290580059303,710438845.795548,723380294.174595
2932.16966097801,259.904390293991,Inf,264.317998602976,Inf,6000,10000,13,153.877971635566,2.44766302148273,762083767.975029,775025216.354075
3041.76470845934,267.484585723534,Inf,271.739171340579,Inf,6000,10000,14,164.145425423118,2.6077211492234,813625172.910713,826566621.28976
3135.57228253302,275.88853161992,Inf,280.015831906103,Inf,6000,10000,15,174.172834410555,2.76313422752843,865068432.816156,878009881.195202
