W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1110.03377319274,277.862996574103,0,290.365992048397,0,6000,9000,5,49.1505543372821,3.13553591003692,308437310.517793,322316057.760335,24392908.8392273,284044401.678566,297923148.921107,1
1289.16900410468,275.874480922322,0,286.640134764722,0,6000,9000,6,57.3426594745106,3.67589121385245,355648829.828526,369527577.071068,27050830.7331893,328597999.095337,342476746.337879,1
1461.67691604275,275.618338823342,0,285.113424290051,0,6000,9000,7,67.0944828902812,4.30818328025461,402864963.496128,416743710.738669,29713366.9840189,373151596.512109,387030343.75465,1
1616.99751442221,278.278885349366,0,286.861920956258,0,6000,9000,8,76.6507179057636,4.91925731130664,449976265.926108,463855013.168649,32271071.9972274,417705193.92888,431583941.171422,1
1754.6458397464,283.252952553041,0,291.16266682595,0,6000,9000,9,86.0840848327249,5.5345080944025,497008614.79308,510887362.035621,34749823.4474279,462258791.345652,476137538.588193,1
1875.2069377463,290.083439807918,0,297.484621492549,0,6000,9000,10,95.3725689504403,6.1434551233118,543966478.85312,557845226.095661,37154090.0906964,506812388.762423,520691136.004965,1
1978.73301944842,298.587686794987,0,305.60164325406,0,6000,9000,11,103.706494818248,6.69432199829028,590825315.061965,604704062.304507,39459328.8827701,551365986.179195,565244733.421736,1
2075.37279652235,307.173450150214,0,313.86080158211,0,6000,9000,12,113.667923577448,7.30696834827538,637499422.255669,651378169.49821,41579838.6597025,595919583.595966,609798330.838508,1
2143.23018288583,319.226628411516,0,325.702249813905,0,6000,9000,13,115.001147874433,7.45999247721504,684176145.192438,698054892.43498,43702964.1797003,640473181.012738,654351928.255279,1
2206.04155609162,331.260668441569,0,337.551913139212,0,6000,9000,14,121.090413516261,7.86483216118693,730774800.480789,744653547.72333,45748022.0512793,685026778.429509,698905525.672051,1
2257.0550976939,344.398337656644,0,350.547388805959,0,6000,9000,15,126.200756377211,8.2213018425952,777326023.645234,791204770.887776,47745647.7989534,729580375.846281,743459123.088822,1
