dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
4666.3180539119,63.8610191245042,66.8352585745791,0.8,6000,5000,10,69.3557182409212,4.43314131568848,297995826.481887,311874573.724429,26913337.8663624,271082488.615525,284961235.858066,1
5698.52220269703,61.9499646058864,64.3854639772802,0.8,6000,6000,10,85.4705450940281,5.48559748885251,353023248.762939,366901996.005481,30384446.8376848,322638801.925254,336517549.167796,1
6713.56639830789,61.5051028453566,63.572371778012,0.8,6000,7000,10,101.790935468705,6.56699810375929,412918591.787057,426797339.029599,33806035.400743,379112556.386314,392991303.628856,1
7731.54477673268,61.7886001460404,63.5836809019986,0.8,6000,8000,10,118.480482135691,7.69300736858906,477721328.720743,491600075.963285,37217576.7220394,440503751.998704,454382499.241245,1
8733.30001347537,62.6868657095793,64.2760413042717,0.8,6000,9000,10,135.691594352211,8.8803904722649,547463205.146198,561341952.388739,40650816.3837744,506812388.762423,520691136.004965,1
9720.93701257685,64.0036078159761,65.4313248379654,0.8,6000,10000,10,153.58756989105,10.1494937856656,622175040.156775,636053787.399317,44136573.4793024,578038466.677473,591917213.920014,1
