W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
1097.80028594924,114.980108698839,0,127.622433008803,0,6000,9000,5,47.3354394956947,3.0294203052215,126225196.20806,140103943.450602,1
1289.17046894642,106.388513204305,0,117.154154814048,0,6000,9000,6,57.342869913664,3.6759032245885,137152929.458107,151031676.700648,1
1462.08694441481,101.1899034974,0,110.682326157734,0,6000,9000,7,67.0682166777038,4.29710044206764,147948436.810143,161827184.052684,1
1616.51116150918,98.1461010002045,0,106.731718948914,0,6000,9000,8,76.6684667273101,4.93146490667724,158654267.725438,172533014.967979,1
1754.64052902745,96.4668029760624,0,104.376541189071,0,6000,9000,9,86.08260352236,5.5344235922737,169264562.207505,183143309.450047,1
1875.19982366776,95.8864810428889,0,103.287690805908,0,6000,9000,10,95.3698814375099,6.14330097028748,179806312.343747,193685059.586289,1
1978.38705273619,96.1443840114167,0,103.159567022924,0,6000,9000,11,102.836871135683,6.63892232680086,190210804.521483,204089551.764025,1
2067.46048397556,96.9904046584404,0,103.703349041229,0,6000,9000,12,108.565961906761,7.032665283521,200523828.956125,214402576.198666,1
2143.14622207716,98.2896403771649,0,104.765515471254,0,6000,9000,13,112.882639739689,7.31942791977766,210649071.443644,224527818.686185,1
2207.0801049306,100.031191362949,0,106.319475694604,0,6000,9000,14,117.886265202867,7.65336042299661,220776852.329671,234655599.572213,1
2259.78043956876,102.155337620703,0,108.296972887353,0,6000,9000,15,121.244548680296,7.89757253885326,230848633.752807,244727380.995349,1
