W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
700.803510240268,301.11498970758,0,320.919038973519,0,6000,6000,5,30.2531006015013,1.92303398080679,211022441.773034,224901189.015575,19064833.5130525,191957608.259981,205836355.502523,1
824.79229816654,289.829862736252,0,306.656823018729,0,6000,6000,6,35.6956368523196,2.27818409433949,239049438.563526,252928185.806067,20955591.5704899,218093846.993036,231972594.235578,1
950.003808766308,281.161062996902,0,295.770212049225,0,6000,6000,7,42.3597028077098,2.70573307113607,267104080.72384,280982827.966382,22873994.9977499,244230085.726091,258108832.968632,1
1061.80742932633,277.876067053034,0,290.94693740035,0,6000,6000,8,48.7474384200626,3.11568204742085,295050872.428893,308929619.671435,24684547.9697479,270366324.459145,284245071.701687,1
1161.98427088024,277.900423430285,0,289.844429550117,0,6000,6000,9,54.9378467552243,3.51309412410639,322915920.896949,336794668.13949,26413357.7047489,296502563.1922,310381310.434741,1
1251.37213953462,280.262628742062,0,291.353452010433,0,6000,6000,10,60.9650667431398,3.90013796374418,350712845.360549,364591592.603091,28074043.435295,322638801.925254,336517549.167796,1
1330.48288049175,284.445994114565,0,294.877355123443,0,6000,6000,11,66.8503941043733,4.27810470952177,378450525.593887,392329272.836429,29675484.935578,348775040.658309,362653787.900851,1
1399.70030316342,290.159297173576,0,300.074810666839,0,6000,6000,12,72.6153471219278,4.64821583144217,406136056.219539,420014803.46208,31224776.8281749,374911279.391364,388790026.633905,1
1458.1420614935,297.445961606927,0,306.964065232802,0,6000,6000,13,77.808679232906,4.97352808960499,433718467.640442,447597214.882983,32670949.5160237,401047518.124418,414926265.36696,1
1508.41043703894,305.822247988587,0,315.023157039433,0,6000,6000,14,83.3007732868427,5.32497317086521,461305470.744695,475184217.987237,34121713.8872225,427183756.857473,441062504.100014,1
1550.81138834353,315.262270501896,0,324.211616210123,0,6000,6000,15,89.2463644739441,5.70079841244133,488912319.409379,502791066.651921,35592323.8188518,453319995.590528,467198742.833069,1
