W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
1357.54924926637,283.840340508543,0,294.06372448525,0,6000,11000,5,59.3940421604655,3.81242731317373,385327241.168884,399205988.411425,27598040.9996037,357729200.16928,371607947.411822,1
1583.82294266905,282.815920992117,0,291.578735867846,0,6000,11000,6,71.6154812663659,4.59792036109821,447930344.219391,461809091.461933,30910586.9351966,417019757.284195,430898504.526736,1
1786.35429405225,285.727698505285,0,293.49701240273,0,6000,11000,7,83.670167340852,5.38597843095179,510410901.154582,524289648.397123,34100586.7554728,476310314.399109,490189061.641651,1
1965.85648616529,291.369853031347,0,298.429751523537,0,6000,11000,8,95.5897076354348,6.17127515427956,572791315.454701,586670062.697242,37190443.9406774,535600871.514023,549479618.756565,1
2131.07040024259,297.926226145604,0,304.438797124471,0,6000,11000,9,107.411104506022,6.91526709158997,634901761.994876,648780509.237417,40010333.365938,594891428.628938,608770175.871479,1
2258.37400198357,308.671465007772,0,314.816925073444,0,6000,11000,10,112.954517471657,7.35077419815966,697095611.727732,710974358.970273,42913625.9838799,654181985.743852,668060732.986394,1
2377.54798611878,319.240318635614,0,325.077739088775,0,6000,11000,11,119.568475920739,7.79771125140775,759009176.660023,772887923.902565,45536633.8012567,713472542.858767,727351290.101308,1
2479.43240953974,331.1385097846,0,336.736059929199,0,6000,11000,12,128.324852391804,8.40615251486649,821035553.206629,834914300.44917,48272453.232948,772763099.973681,786641847.216223,1
2565.31499891112,344.162009390592,0,349.572162626523,0,6000,11000,13,135.160971371047,8.88127382731751,882883964.745076,896762711.987617,50830307.6564807,832053657.088595,845932404.331137,1
2640.61652529493,357.730475152034,0,362.986348963924,0,6000,11000,14,139.107854289167,9.16435384273406,944629004.288067,958507751.530609,53284790.0845577,891344214.20351,905222961.446051,1
2699.94969527192,372.64774616077,0,377.788118689504,0,6000,11000,15,142.779418484131,9.41234872295948,1006130168.69054,1020008915.93308,55495397.3721139,950634771.318424,964513518.560966,1
