dH_sold_avg,SpCC_dH_Br,SpCC_dH_Gr,S_ratio,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
12860.0438632729,20.9541744163318,22.0333890278914,0.2,6000,5000,9,62.4013420780847,3.98735453601295,269471602.112698,283350349.35524,19369720.8992554,250101881.213443,263980628.455985,1
15788.2018927236,20.1434392182148,21.0224973488901,0.2,6000,6000,9,76.7613205386766,4.92024245985757,318028685.190982,331907432.433524,21526121.9987826,296502563.1922,310381310.434741,1
18716.9611434936,19.8216191313955,20.5631255723258,0.2,6000,7000,9,91.4503249361264,5.8868018930381,371000475.08346,384879222.326001,23671532.876306,347328942.207153,361207689.449695,1
21714.7742417316,19.7287973663558,20.3679358205733,0.2,6000,8000,9,106.575619295002,6.89501235251756,428406380.871286,442285128.113827,25825362.6129815,402581018.258304,416459765.500846,1
24697.2839812846,19.8522873619891,20.4142417555596,0.2,6000,9000,9,121.882348399137,7.93528564697989,490297578.657112,504176325.899654,28038787.3114604,462258791.345652,476137538.588193,1
27715.0589703757,20.0864881600291,20.5872537278519,0.2,6000,10000,9,137.660873042419,9.03117843413236,556698203.86296,570576951.105502,30335942.3937642,526362261.469196,540241008.711738,1
