W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
2205.19456562971,201.446358994904,Inf,207.314978744269,Inf,6000,15000,5,95.801841590695,1.53245394497643,444228416.121454,457169864.500501,1
2575.27546539507,200.447359883352,Inf,205.472627491787,Inf,6000,15000,6,114.517549170643,1.83154382556108,516207168.010813,529148616.389859,1
2916.98271306543,201.557150792208,Inf,205.993738064762,Inf,6000,15000,7,132.781574775949,2.12305001762205,587938724.555593,600880172.934639,1
3232.54483271109,204.022466946719,Inf,208.025953069506,Inf,6000,15000,8,150.940862427779,2.41365819031922,659511771.285584,672453219.664631,1
3519.87792261611,207.635803189536,Inf,211.312478535545,Inf,6000,15000,9,168.40649721394,2.69162353668374,730852679.59151,743794127.970557,1
3781.91078055768,212.091142860736,Inf,215.513076674081,Inf,6000,15000,10,185.284081014334,2.96006387209118,802109779.645814,815051228.024861,1
