W_net,W_reservoir,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
2248.6593069462,17022.1076927911,211.152585616444,0,217.571403216875,0,6000,10000,7,106.6312534107,7.19688741209844,453928587.978706,467727541.950074,36429770.8490313,417498817.129675,431297771.101043,1
2706.6100044111,18843.4687796615,249.015946786611,0,256.386568102252,0,6000,10000,7,114.917849161213,1.88603414115265,634684879.069377,653470912.489124,60696998.465006,573987880.604371,592773914.024118,1
2939.39877613071,20407.6956571896,298.366793374363,0,307.003990627023,0,6000,10000,7,123.761057999175,0.90201454891063,821227910.802325,845001023.670452,90750966.7232585,730476944.079067,754250056.947194,1
3127.14754887734,21699.6170355331,347.52921421815,0,357.396942020515,0,6000,10000,7,130.952317645482,0.536833288313771,1012898535.17476,1041658727.49127,125932527.620999,886966007.553762,915726199.870269,1
3289.64238749576,22831.1581641292,396.074628268811,0,407.126034826552,0,6000,10000,7,137.379295915483,0.360354496458737,1209478454.12508,1243225725.88997,166023383.096621,1043455071.02846,1077202342.79334,1
