W_net,W_reservoir,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,C_SurfacePlant,C_Subsurface_brownfield,C_Subsurface_greenfield,con satisfied
2282.58591257123,15722.9196147441,385.151810808165,0,401.103067611987,0,6000,7000,7,94.1610913049882,0.247677533750201,814846315.242468,848593587.007355,117743117.783058,697103197.45941,730850469.224297,1
2166.99212943132,14926.2136283547,336.908689509562,0,351.158617874396,0,6000,7000,7,89.8593364757257,0.369320078786161,679972450.058717,708732642.375224,89918057.307404,590054392.751313,618814585.06782,1
2034.68938643867,14015.9549255048,287.95990867033,0,300.444748083451,0,6000,7000,7,84.8176818707772,0.619894706473508,548321302.64495,572094415.513077,65315714.6017344,483005588.043216,506778700.911343,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
