W_net,SpCC_W_Br,SpCC_Q_Br,SpCC_W_Gr,SpCC_Q_Gr,depth,res_length,n_streams,m_dot,max_speed,C_Br,C_Gr,con satisfied
1732.22012661641,88.5826256155272,0,96.5947408365017,0,6000,14000,5,77.5680206117404,4.99619063990672,153444606.959743,167323354.202284,1
2004.59266134316,84.568101680428,0,91.4915767136261,0,6000,14000,6,93.4309323955468,6.04319427373895,169524596.012308,183403343.25485,1
2243.37887557149,82.6695565261407,0,88.8560938933547,0,6000,14000,7,107.231037104264,6.98244598634267,185459136.763607,199337884.006149,1
2452.98279776151,81.9401964563912,0,87.5981029265086,0,6000,14000,8,116.215102914063,7.5924849151606,200997892.352726,214876639.595268,1
2639.57232773088,82.0038321497624,0,87.2617851509869,0,6000,14000,9,123.0911858083,8.089824084105,216455046.1104,230333793.352942,1
2804.39575507533,82.6571005065263,0,87.6060265692705,0,6000,14000,10,130.31704200513,8.59196044286821,231803221.787337,245681969.029879,1
2947.48791994141,83.8095686298968,0,88.5182383919148,0,6000,14000,11,135.772491447118,8.98714886893547,247027691.112121,260906438.354663,1
3070.89549497561,85.4039613937272,0,89.9234076807302,0,6000,14000,12,142.51248497928,9.4691120214913,262266640.297068,276145387.53961,1
3173.77903925277,87.3751373689833,0,91.7480779772901,0,6000,14000,13,147.1059171335,9.80658709246408,277309379.533511,291188126.776052,1
3257.20782559906,89.7048169411622,0,93.9657508408862,0,6000,14000,14,151.345443737998,10.1159750296231,292187231.734684,306065978.977226,1
3323.07815931679,92.4222791571552,0,96.5987524680914,0,6000,14000,15,154.998953736696,10.3887874540006,307126457.301422,321005204.543964,1
